OFFENSE_TYPE_NAME,NCIC_OFFENSE_CODE,NIBRS_OFFENSE_CODE,https://www.atlantapd.org/home/showpublisheddocument/2881/637062879602730000
Conspiracy to commit homicide,7099,[90Z],
Solicitation to commit homicide,7099,[90Z],
Reckless endangerment,7099,[90Z],
Disarming a peace officer,7099,[90Z],
Accessory to commit homicide,7099,[90Z],
Property crimes - other,7199,,
Property crimes - other,7199,,
Morals / decency offense - other,7299,[90Z],
Public order offense - other,7399,,
Possession of fireworks,7399,,
Public order offense - other,7399,,
Accessory / conspiracy to crime,7399,[90Z],
Treason,199,[90Z],
Immigration violation,399,,
Homicide by a family member,902,[09A],
Homicide by a stranger w/gun,903,[09A],
Homicide by a stranger w/weapon,904,[09A],
Homicide of a Police Officer w/gun,907,[09A],
Homicide of a Police Officer w/weapon,908,[09A],
Homicide by negligence,910,[09B],
Homicide by gun,911,[09A],
Homicide by other means,912,[09A],
Kidnap minor to sexually assault,1003,[100],
Kidnap adult to sexually assault,1004,[100],
Kidnap a minor,1005,[100],
Kidnap an adult,1006,[100],
Domestic violence kidnapping,1006,[100],
Abduction without ransom or assault,1008,[100],
Hijack an aircraft,1009,[100],
Kidnapping by parent,1010,[100],
Kidnapping of a minor by non-parent,1011,[100],
False Imprisonment,1099,[100],
"Rape, perpetrator had a gun",1101,[11A],
Rape,1102,[11A],
Rape by a person in a position of trust,1102,[11A],
Rape using the threat of violence,1103,[11A],
Unlawful sexual contact ,1109,[11B],
Unlawful sexual contact,1109,[11B],
Sodomy of a male juvenile using bodily force,1112,[11B],
Sodomy of an adult male using bodily force,1113,[11B],
Sodomy of a female juvenile using bodily force,1114,[11B],
Sodomy of an adult female using bodily force,1115,[11B],
Statutory rape,1116,[36B],
Statutory rape by a person in a position of trust,1116,[36B],
Sexual assault with an object,1199,[11C],
Sexual assault w/object by a person in a position of trust,1199,[11C],
Robbery of a business using a gun,1201,[120],
Robbery of a business using a weapon,1202,[120],
Robbery of a business using bodily force,1203,[120],
Robbery of a person in the open using a gun,1204,[120],
Robbery of a person in the open,1205,[120],
Robbery of a person in the open using bodily force,1206,[120],
Robbery of a person in a residence using a gun,1207,[120],
Robbery of a person in a residence,1208,[120],
Robbery of a person in a residence using bodily force,1209,[120],
Forcible Purse Snatching,1210,[120],
Robbery of a bank,1211,[120],
Carjacking - armed,1212,[120],
Robbery - remarks,1299,[120],
Assault causing serious bodily injury by a family member using a gun,1301,[13A],
Assault causing serious bodily injury by a family member using a weapon,1302,[13A],
Assault causing serious bodily injury using bodily force - domestic violence,1303,[13A],
Assault causing serious bodily injury by a stranger using a gun,1304,[13A],
Assault causing serious bodily injury by a stranger using a weapon,1305,[13A],
Assault causing serious bodily injury by a stranger using bodily force,1306,[13A],
Assault causing serious bodily injury of a police officer using a gun,1310,[13A],
Assault causing serious bodily injury of a police officer using a weapon,1311,[13A],
Assault causing serious bodily injury of a police officer using bodily force,1312,[13A],
Assault causing minor bodily injury,1313,[13B],
Assault causing minor bodily injury,1313,[13B],
Assault causing minor bodily injury - domestic violence,1313,[13B],
Assault causing minor bodily injury to a police officer,1313,[13B],
Assault causing serious bodily injury using a gun,1314,[13A],
Weapon fired into an occupied vehicle,1314,[13A],
Weapon fired into an occupied building,1314,[13A],
Assault causing serious bodily injury,1315,[13A],
Assault causing serious bodily injury - domestic violence,1315,[13A],
Threatening to imminently injure with a weapon,1315,[13A],
Flourishing a weapon at another person,1315,[13A],
Threatening to injure,1316,[13C],
Harassment by stalking - domestic violence,1316,[13C],
Threatening to injure,1316,[13C],
Arson of a business,2005,[200],
Arson of a residence,2006,[200],
Arson,2007,[200],
Arson to a public building,2009,[200],
Arson of a vehicle,2099,[200],
Extort-threaten to injure a person,2101,[210],
Extortion - other,2199,[210],
Burglary of a safe,2201,[220],
Burglary of a residence with forced entry,2202,[220],
Burglary and auto theft at a residence with forced entry,2202,[220],
Burglary of a business with forced entry,2203,[220],
Burglary and auto theft at a business with forced entry,2203,[220],
Burglary of a residence without forced entry,2204,[220],
Burglary and auto theft at a residence without forced entry,2204,[220],
Burglary of a business without forced entry,2205,[220],
Burglary and auto theft at a business without forced entry,2205,[220],
Possession of burglary tools,2206,[220],
Burglary - other,2299,[220],
Pocketpicking,2301,[23A],
Purse snatching without force,2302,[23B],
Shoplifting,2303,[23C],
Theft of parts from a vehicle,2304,[23F],
Theft of items from a vehicle,2305,[23F],
Theft from a vending machine,2307,[23E],
Theft from a building,2308,[23D],
Theft from a yard,2309,[23H],
Theft from a mailbox,2310,[23H],
Theft from a bank,2311,[23D],
Theft - other,2399,[23H],
Bicycle theft,2399,[23F],
Theft of fuel by driving off without paying,2399,[23H],
Theft of cable services,2399,[23H],
Theft of construction equipment,2399,[23H],
Theft of a trailer,2399,[23H],
Vehicle stolen and stripped,2402,[240],
Motor vehicle theft,2404,[240],
Unauthorized use of a vehicle or joy ride,2411,[240],
Forgery of checks,2501,[250],
Counterfeiting an object,2503,[250],
Altering a vehicle VIN number,2503,[250],
Passing forged documents,2504,[250],
"Passing counterfeited objects (tickets, bonds, etc)",2505,[250],
Possession of a forged instrument,2506,[250],
Possession of a forged financial transaction device (credit & debit cards),2506,[250],
"Possession of counterfeited objects (tickets, bonds, etc)",2507,[250],
Possession of counterfeiting device,2508,[90Z],
Forgery - other,2589,[250],
Forgery to obtain drugs,2589,[250],
Theft by confidence game,2601,[26A],
Theft of rental property,2602,[26A],
Failure to return rental vehicle,2602,[26A],
Identity theft,2604,[26C],
Criminal impersonation,2604,[26F],
Gathering personal information by deception,2604,[26C],
Possession of identity theft tools,2604,[26C],
Police impersonation,2604,[26C],
Unauthorized use of a financial transaction device,2605,[26B],
Unauthorized use of a financial transaction device,2605,[26B],
Fraud by check due to insufficient funds,2606,[90A],
Fraud by telephone,2607,[26A],
Fraud by wire,2608,[26E],
Fraud by use of computer,2609,[26G],
Fraud - other,2699,[26A],
"Failure to pay cab, bus or rail fare",2699,[26A],
Theft of meals,2699,[26A],
Theft of services,2699,[26A],
Fraud to obtain drugs,2699,[26A],
Pawn broker violation,2699,[26A],
Embezzlement of business property,2701,[270],
Embezzlement by an employee,2799,[270],
Sale of stolen property,2801,[280],
"Buy, sell or receive stolen property",2803,[280],
Recovered vehicle stolen outside Denver,2804,[280],
Assault causing serious bodily injury involving firing a gun,1315,[13A],
