crime_description,fbi_crime_code
"MURDER, NON-NEGLIGIENT MANSLAUGHTER",09A
M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY,90Z
FUGITIVE FROM JUSTICE,90Z
OPERATING UNDER THE INFLUENCE (OUI) DRUGS,90D
SEARCH WARRANT,90Z
DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,90C
ARSON,200
TRUANCY / RUNAWAY,90I
PROPERTY - STOLEN THEN RECOVERED,23H
M/V ACCIDENT - INVOLVING BICYCLE - INJURY,90Z
DRUGS - POSSESSION OF DRUG PARAPHANALIA,35A
LARCENY THEFT FROM COIN-OP MACHINE,23E
CHILD REQUIRING ASSISTANCE (FOMERLY CHINS),90Z
LARCENY PICK-POCKET,23A
AFFRAY,0Z
OTHER OFFENSE,90Z
SUICIDE / SUICIDE ATTEMPT,90Z
HARBOR INCIDENT / VIOLATION,90Z
EXPLOSIVES - POSSESSION OR USE,90Z
VIOL. OF RESTRAINING ORDER W ARREST,90Z
OBSCENE PHONE CALLS,370
INJURY BICYCLE NO M/V INVOLVED,90Z
PRISONER - SUICIDE / SUICIDE ATTEMPT,90Z
VIOLATION - CITY ORDINANCE,90Z
PROPERTY - LOST THEN LOCATED,23H
EXPLOSIVES - TURNED IN OR FOUND,90Z
PROSTITUTION - SOLICITING,40A
AIRCRAFT INCIDENTS,90Z
POSSESSION OF BURGLARIOUS TOOLS,90Z
LIQUOR LAW VIOLATION,90G
DRUNKENNESS,90E
Evidence Tracker Incidents,90Z
BREAKING AND ENTERING (B&E) MOTOR VEHICLE,220
PROSTITUTION - ASSISTING OR PROMOTING,40B
PROTECTIVE CUSTODY / SAFEKEEPING,90Z
KIDNAPPING/CUSTODIAL KIDNAPPING/ ABDUCTION,100
PROSTITUTION,40A
Justifiable Homicide,09C
FIREARM/WEAPON - ACCIDENTAL INJURY / DEATH,90Z
FIREARM/WEAPON - LOST,90Z
CONSPIRACY EXCEPT DRUG LAW,35A
MANSLAUGHTER - VEHICLE - NEGLIGENCE,09B
MANSLAUGHTER - NEGLIGENCE,09B
